person_id,page_number,occupation,entry_type,occupation_norm_proposed,age,sex,family_status_norm,comments
P000828,77,,blank,,4,Женский,Приемная дочь,
P000829,77,,blank,,26,Женский,Жена,
P000831,78,,blank,,53,Мужской,Прислуга,
P000833,78,,blank,,41,Женский,Сожительница,
P000836,78,,blank,,33,Женский,Сожительница,
P000840,78,,blank,,32,Женский,Сожительница,
P000842,78,,blank,,22,Женский,Сожительница,Муж в Рыкове
P000844,78,,blank,,30,Женский,Сожительница,Муж в тюрьме
P000846,79,,blank,,26,Женский,Жена,
P000847,79,,blank,,2,Мужской,Сын,
P000848,79,,blank,,0,Мужской,Сын,
P000849,79,,blank,,34,Женский,Жилица,
P000852,79,,blank,,28,Женский,Хозяйка,2-я Кирпичная
P000857,79,,blank,,40,Женский,Жена,
P000858,79,,blank,,6,Мужской,Сын,
P000859,79,,blank,,3,Мужской,Сын,
P000870,80,,blank,,29,Женский,Сожительница,
P000871,80,,blank,,4,Мужской,Незаконнорожденный сын,158
P000874,80,,blank,,47,Женский,Жена,
P000875,80,,blank,,9,Мужской,Сын,
P000876,80,,blank,,2,Женский,Дочь,
P000878,80,,blank,,52,Женский,Сожительница,
P000886,81,,blank,,62,Женский,Жена,
P000887,81,,blank,,20,Мужской,Сын,
P000889,81,,blank,,41,Женский,Жена,
P000892,81,,blank,,40,Женский,Сожительница,
P000894,81,,blank,,21,Женский,Сожительница,
P000897,82,,blank,,27,Женский,Жена,
P000900,82,,blank,,32,Женский,Жена,
P000901,82,,blank,,53,Мужской,Жилец,
P000903,82,,blank,,29,Женский,Сожительница,
P000906,82,,blank,,40,Женский,Сожительница,
P000907,82,,blank,,7,Женский,Незаконнорожденная дочь,155
P000908,82,,blank,,2,Женский,Незаконнорожденная дочь,156
P000909,82,,blank,,0,Мужской,Незаконнорожденный сын,3 дня; Некрещенный; 157
P000910,82,,blank,,43,Мужской,Жилец,
P000915,83,,blank,,32,Женский,Жена,
P000917,83,,blank,,53,Женский,Сожительница,
P000918,83,,blank,,27,Женский,Хозяйка,
P000920,83,,blank,,5,Мужской,Незаконнорожденный сын,154
P000921,83,,blank,,0,Женский,Незаконнорожденная дочь,153
P000924,83,,blank,,36,Женский,Жена,пришла за мужем
P000926,84,,blank,,35,Женский,Жена,
P000927,84,,blank,,32,Женский,Жилица,
P000928,84,,blank,,3,Мужской,Незаконнорожденный сын,150
P000929,84,,blank,,35,Женский,Жилица,
P000930,84,,blank,,3,Женский,Незаконнорожденная дочь,151
P000931,84,,blank,,1,Мужской,Незаконнорожденный сын,152
P000934,84,,blank,,36,Мужской,Жилец,
P000936,84,,blank,,28,Женский,Жена,
P000937,84,,blank,,7,Мужской,Сын,
P000938,84,,blank,,6,Женский,Дочь,
P000939,84,,blank,,2,Женский,Дочь,
P000942,84,,blank,,33,Мужской,Жилец,
P000943,85,,blank,,50,Мужской,Хозяин,
P000944,85,,blank,,50,Женский,Жена,
P000945,85,,blank,,50,Мужской,Жилец,
P000947,85,,blank,,38,Мужской,Хозяин,
P000948,85,,blank,,38,Женский,Жена,пришла за мужем
P000949,85,,blank,,3,Мужской,Сын,
P000950,85,,blank,,0,Мужской,Сын,
P000951,85,,blank,,41,Мужской,Жилец,
P000952,85,,blank,,28,Женский,Жена,
P000953,85,,blank,,43,Мужской,Хозяин,
P000954,85,,blank,,35,Женский,Жена,
P000955,85,,blank,,3,Женский,Дочь,
P000956,85,,blank,,28,Мужской,Хозяин,
P000957,85,,blank,,30,Женский,Жена,
P000958,85,,blank,,5,Мужской,Сын,
P000959,86,,blank,,3,Мужской,Сын,
P000960,86,,blank,,0,Мужской,Сын,
P000961,86,,blank,,44,Мужской,Жилец,
P000962,86,,blank,,45,Женский,Сожительница,
P000963,86,,blank,,30,Мужской,Жилец,
P000964,86,,blank,,26,Женский,Сожительница,
P000965,86,,blank,,45,Мужской,Жилец,
P000966,86,,blank,,29,Мужской,Жилец,
P000969,86,,blank,,30,Женский,Жена,
P000970,86,,blank,,4,Мужской,Пасынок,
P000971,86,,blank,,2,Женский,Дочь,
P000972,86,,blank,,43,Мужской,Хозяин,
P000973,86,,blank,,43,Женский,Жена,
P000974,86,,blank,,4,Женский,Дочь,
P000975,86,,blank,,1,Мужской,Сын,
P000976,87,,blank,,60,Мужской,Жилец,
P000977,87,,blank,,29,Женский,Жена,за вторым мужем
P000978,87,,blank,,8,Мужской,Сын,
P000979,87,,blank,,4,Женский,Дочь,
