person_id,source_position_id,page_number,field,before,after
P006586,3-37-006-0015,439,comments,1 год 3 месяца,
P006596,3-37-010-0025,439,age_months,,6
P006596,3-37-010-0025,439,comments,6 месяцев; 32,32
P006618,3-39-003-0007,441,age_months,,9
P006618,3-39-003-0007,441,comments,9 месяцев; 86,86
P006630,3-39-010-0019,441,age_months,,23
P006630,3-39-010-0019,441,comments,1 год 11 месяцев; 85,85
P006665,3-40-010-0016,443,age_months,,14
P006665,3-40-010-0016,443,comments,1 год 2 месяца; 79,79
P006674,3-40-017-0025,444,age_months,,13
P006674,3-40-017-0025,444,comments,1 год 1 месяц; 78,78
P006698,3-41-005-0009,445,age_months,,10
P006698,3-41-005-0009,445,comments,10 месяцев; 16,16
P006702,3-41-007-0013,445,age_months,,22
P006702,3-41-007-0013,445,comments,1 год 10 месяцев,
P006706,3-41-008-0017,445,age_months,,4
P006706,3-41-008-0017,445,comments,4 месяца; 13,13
P006710,3-41-009-0021,446,age_months,,16
P006710,3-41-009-0021,446,comments,1 год 4 месяца; 11,11
P006718,3-41-012-0029,446,age_months,,16
P006718,3-41-012-0029,446,comments,1 год 4 месяца; 8,8
P006732,3-41-022-0043,447,age_months,,16
P006732,3-41-022-0043,447,comments,1 год 4 месяца; 7,7
P006744,3-41-028-0055,447,age_months,,6
P006744,3-41-028-0055,447,comments,6 месяцев; 3,3
P006760,3-41-037-0071,448,age_months,,2
P006760,3-41-037-0071,448,comments,2 месяца; 1,1
P006774,3-41-044-0085,449,age_months,,22
P006774,3-41-044-0085,449,comments,1 год 10 месяцев; 2,2
