person_id,source_position_id,page_number,comments_before,comments_after,reason
P005028,2-24-277-0992,341,1062,,pure_numeric_comment
P005029,2-24-277-0993,341,1063,,pure_numeric_comment
P005030,2-24-278-0994,341,1064,,pure_numeric_comment
P005031,2-24-279-0995,341,1065,,pure_numeric_comment
P005032,2-24-279-0996,341,10662,,pure_numeric_comment
P005033,2-24-280-0997,341,1068,,pure_numeric_comment
P005034,2-24-280-0998,341,1069,,pure_numeric_comment
P005035,2-24-280-0999,341,1071,,pure_numeric_comment
P005036,2-24-281-1000,341,1072,,pure_numeric_comment
P005037,2-24-281-1001,341,1073,,pure_numeric_comment
P005038,2-24-281-1002,341,1074,,pure_numeric_comment
P005039,2-24-281-1003,341,1075,,pure_numeric_comment
P005040,2-24-281-1004,341,1076,,pure_numeric_comment
P005041,2-24-282-1005,342,1077,,pure_numeric_comment
P005042,2-24-282-1006,342,1078,,pure_numeric_comment
P005043,2-24-282-1007,342,1079,,pure_numeric_comment
P005044,2-24-283-1008,342,1080,,pure_numeric_comment
P005045,2-24-283-1009,342,1081,,pure_numeric_comment
P005046,2-24-283-1010,342,1082,,pure_numeric_comment
P005047,2-24-283-1011,342,1084,,pure_numeric_comment
P005048,2-24-283-1012,342,1085,,pure_numeric_comment
P005049,2-24-284-1013,342,1086,,pure_numeric_comment
P005050,2-24-284-1014,342,1087,,pure_numeric_comment
P005052,2-24-285-1016,342,1089,,pure_numeric_comment
P005053,2-24-285-1017,342,1090,,pure_numeric_comment
P005054,2-24-286-1018,342,1093,,pure_numeric_comment
P005055,2-24-286-1019,342,1094,,pure_numeric_comment
P005056,2-24-286-1020,342,1095,,pure_numeric_comment
P005057,2-24-286-1021,342,1,,pure_numeric_comment
P005058,2-24-286-1022,342,2,,pure_numeric_comment
P005059,2-24-286-1023,343,1099,,pure_numeric_comment
P005060,2-24-287-1024,343,1100,,pure_numeric_comment
P005061,2-24-287-1025,343,1111,,pure_numeric_comment
P005062,2-24-287-1026,343,1112,,pure_numeric_comment
P005063,2-24-288-1027,343,1113,,pure_numeric_comment
P005064,2-24-288-1028,343,1114,,pure_numeric_comment
P005065,2-24-289-1029,343,1115,,pure_numeric_comment
P005066,2-24-289-1030,343,1116,,pure_numeric_comment
P005073,2-24-290-1037,343,1123,,pure_numeric_comment
P005074,2-24-291-1038,343,1124,,pure_numeric_comment
P005075,2-24-291-1039,343,1125,,pure_numeric_comment
P005077,2-24-292-1041,344,1127,,pure_numeric_comment
P005078,2-24-293-1042,344,1128,,pure_numeric_comment
P005079,2-24-293-1043,344,1129,,pure_numeric_comment
P005081,2-24-293-1045,344,1131,,pure_numeric_comment
P005082,2-24-293-1046,344,1132,,pure_numeric_comment
P005083,2-24-294-1047,344,1133,,pure_numeric_comment
P005084,2-24-295-1048,344,1134,,pure_numeric_comment
P005085,2-24-295-1049,344,1135,,pure_numeric_comment
P005086,2-24-295-1050,344,1136,,pure_numeric_comment
P005088,2-24-296-1052,344,1138,,pure_numeric_comment
P005089,2-24-296-1053,344,1139,,pure_numeric_comment
P005090,2-24-296-1054,344,1141,,pure_numeric_comment
P005091,2-24-296-1055,344,1142,,pure_numeric_comment
P005092,2-24-296-1056,345,1143,,pure_numeric_comment
P005093,2-24-297-1057,345,1144,,pure_numeric_comment
P005094,2-24-297-1058,345,1145,,pure_numeric_comment
P005095,2-24-297-1059,345,1146,,pure_numeric_comment
P005097,2-24-298-1061,345,1151,,pure_numeric_comment
P005098,2-24-298-1062,345,1152,,pure_numeric_comment
P005099,2-24-298-1063,345,1153,,pure_numeric_comment
P005100,2-24-299-1064,345,1154,,pure_numeric_comment
P005103,2-24-301-1067,345,2,,pure_numeric_comment
P005105,2-24-301-1069,345,1160,,pure_numeric_comment
P005106,2-24-301-1070,345,1161,,pure_numeric_comment
P005108,2-24-301-1072,345,1159,,pure_numeric_comment
P005109,2-24-302-1073,346,1163,,pure_numeric_comment
P005110,2-24-302-1074,346,1164,,pure_numeric_comment
P005111,2-24-302-1075,346,1165,,pure_numeric_comment
P005112,2-24-303-1076,346,1166,,pure_numeric_comment
P005113,2-24-303-1077,346,1167,,pure_numeric_comment
P005114,2-24-303-1078,346,1169,,pure_numeric_comment
P005115,2-24-303-1079,346,1170,,pure_numeric_comment
P005116,2-24-304-1080,346,1171,,pure_numeric_comment
P005117,2-24-304-1081,346,1172,,pure_numeric_comment
P005118,2-24-304-1082,346,1173,,pure_numeric_comment
P005119,2-24-304-1083,346,1174,,pure_numeric_comment
P005120,2-24-304-1084,346,1175,,pure_numeric_comment
P005121,2-24-304-1085,346,1176,,pure_numeric_comment
P005122,2-24-305-1086,346,1177,,pure_numeric_comment
P005123,2-24-305-1087,346,1178,,pure_numeric_comment
P005124,2-24-305-1088,346,3,,pure_numeric_comment
P005125,2-24-305-1089,346,1183,,pure_numeric_comment
P005126,2-24-306-1090,346,1184,,pure_numeric_comment
P005127,2-24-306-1091,347,1185,,pure_numeric_comment
P005128,2-24-306-1092,347,1186,,pure_numeric_comment
P005130,2-24-307-1094,347,1188,,pure_numeric_comment
P005131,2-24-307-1095,347,1189,,pure_numeric_comment
P005132,2-24-308-1096,347,1190,,pure_numeric_comment
P005133,2-24-309-1097,347,1191,,pure_numeric_comment
P005134,2-24-309-1098,347,1192,,pure_numeric_comment
P005135,2-24-309-1099,347,1193,,pure_numeric_comment
P005136,2-24-309-1100,347,1194,,pure_numeric_comment
P005137,2-24-310-1101,347,1195,,pure_numeric_comment
P005138,2-24-310-1102,347,1196,,pure_numeric_comment
P005139,2-24-311-1103,347,1198,,pure_numeric_comment
P005140,2-24-311-1104,347,1199,,pure_numeric_comment
P005142,2-24-312-1106,347,1201,,pure_numeric_comment
P005143,2-24-312-1107,347,1202,,pure_numeric_comment
P005144,2-24-312-1108,347,1204,,pure_numeric_comment
P005145,2-24-312-1109,348,1205,,pure_numeric_comment
P005146,2-24-313-1110,348,1206,,pure_numeric_comment
P005147,2-24-313-1111,348,1207,,pure_numeric_comment
P005148,2-24-313-1112,348,1208,,pure_numeric_comment
P005149,2-24-314-1113,348,1209,,pure_numeric_comment
P005150,2-24-314-1114,348,1210,,pure_numeric_comment
