family_status,record_count,family_status_norm_proposed,review_status,proposal_basis,owner_decision,owner_family_status_norm,reviewer_notes
Сожительница Матвеева,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Миллера,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Митькина,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Муромского,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Наволочки,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Питерского,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Родова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Семенова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Тамбовского,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Тимофеева,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Тихонова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Фельда,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Щетинина. Сожительница,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница жильца Боутова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница жильца Брегора,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница жильца Волкова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница жильца Михайлова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница жильца Фомина,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница и совладелица,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница хозяина сожительница,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница хозяина. Хозяйка,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница хозяйка,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница № 1,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница № 2,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сторож,1,Сторож,owner_approved,Explicit Сторож wording.,approve,Сторож,
Сын Михеева,1,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Сын каюра. Сын,1,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Сын писаря,1,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Сын работника,1,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Теща,1,Теща,owner_approved,Explicit Теща wording.,approve,Теща,
Хозяин из киргиз,1,Хозяин,owner_approved,Explicit Хозяин wording.,approve,Хозяин,
Хозяин квартиры №,1,Хозяин,owner_approved,Explicit Хозяин wording.,approve,Хозяин,
Хозяин-писарь,1,Хозяин,owner_approved,Explicit Хозяин wording.,approve,Хозяин,
Хозяйка. Жена,1,Жена,owner_approved,Compound source wording explicitly includes Жена.,approve,Жена,
жена Каспера Егорова,1,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
жена писаря,1,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
жилица,1,Жилица,owner_approved,Explicit Жилица wording.,approve,Жилица,
незаконнорожденная дочь поселенца,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
незаконнорожденная дочь сожительницы сына,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
совладелец,1,Совладелец,owner_approved,Explicit Совладелец wording.,approve,Совладелец,
сожительница Дергачева,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
сожительница жильца,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
сожительница жильца Драпникова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
сожительница приемного сына,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
сын жильца,1,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
сын сожительницы,1,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
